signal_id,signal_date,ticker_symbol,signal_type,hold_subtype,show_segment_heuristic,section_raw,confidence_score,vix_at_signal,gics_sector
6bb43097-8899-4084-91a5-3bf9395d91fb,2018-01-02,AAPL,hold_long,cramer_owns,Monologue/Top of Show,,0.95,9.77,Technology
d20ae182-fc50-4832-9614-0b298cb638a3,2018-01-02,ADB,start_long,,Monologue/Top of Show,,0.95,9.77,Technology
51e29632-5c59-4a1b-b60d-b66af533da26,2018-01-02,BDX,start_long,,Lightning Round,Lightning Round,0.95,9.77,Healthcare
b40bc45b-146d-4d39-9539-7140ceebd5c0,2018-01-02,BP,start_long,,Late Show/Closing,,0.85,9.77,Energy
9725c3a4-2ae9-4a16-9904-27fc2decb592,2018-01-02,CAT,start_long,,Mid-Show/Interview,,0.9,9.77,Industrials
d0456b32-7382-461d-a1b7-31b73cae863c,2018-01-02,CCL,start_long,,Lightning Round,Lightning Round,0.95,9.77,Consumer Cyclical
f46631c6-bd82-4f06-9e2f-b9548311138e,2018-01-02,CRM,start_long,,Monologue/Top of Show,,0.95,9.77,Technology
77c5ce83-c463-41e7-bd82-0b806996d87a,2018-01-02,CVX,start_long,,Late Show/Closing,,0.85,9.77,Energy
b3d11917-7b67-4e2f-8b21-b3a06126d038,2018-01-02,EPD,start_long,,Late Show/Closing,,0.95,9.77,Energy
cc8d8aaf-b167-4f1a-a955-c096c92f7386,2018-01-02,FANG,start_long,,Late Show/Closing,,0.9,9.77,Energy
dca765df-6561-4e4b-8de9-3897b250e406,2018-01-02,KMX,start_long,,Mid-Show/Interview,,0.95,9.77,Consumer Cyclical
2c2435d7-990b-4b29-bc06-606a0cb64798,2018-01-02,MMPCX,start_long,,Late Show/Closing,,0.95,9.77,Industrials
8cc78e79-29a8-49e9-968b-1cdc91689be6,2018-01-02,SLB,start_long,,Monologue/Top of Show,,0.95,9.77,Energy
634c01a1-1d09-46b2-8c67-e8c380bdbf1b,2018-01-02,VMW,start_long,,Monologue/Top of Show,,0.95,9.77,Technology
e37a5364-ce96-4d8d-a1bb-a98ca4203dcc,2018-01-02,WMT,start_long,,Mid-Show/Interview,,0.95,9.77,Consumer Defensive
ebe82eb3-9735-4a37-b698-6dab5fe4fdf1,2018-01-03,AMAT,start_long,,Lightning Round,Lightning Round,0.9,9.15,Technology
fca92f9e-0159-412f-8a37-c8d69c8d8b49,2018-01-03,AME,start_long,,Lightning Round,Lightning Round,0.95,9.15,Industrials
479c0b1e-60d4-4c3f-8d6e-bd93006848b6,2018-01-03,DKS,start_long,,Monologue/Top of Show,,0.95,9.15,Consumer Cyclical
9d19a549-2ad7-46b3-88be-8b3eeee6a12c,2018-01-03,GIS,start_long,,Monologue/Top of Show,,0.85,9.15,Consumer Defensive
0adce4ec-b391-4f50-859b-c9aef99e4f7e,2018-01-03,HRL,hold_long,hold_recommendation,Lightning Round,Lightning Round,0.85,9.15,Consumer Defensive
72669118-a8a8-4393-847f-bea8d994b9cb,2018-01-03,NVS,start_long,,Mid-Show/Interview,,0.95,9.15,Healthcare
a3404955-87e2-4dda-8e1a-b4e2125616cb,2018-01-03,ORCL,start_long,,Monologue/Top of Show,,0.9,9.15,Technology
a0c1257e-5a7b-42e8-b2ae-5d5b4cff5d0d,2018-01-03,PLAY,start_long,,Monologue/Top of Show,,0.95,9.15,Communication Services
97d60d45-8753-4507-a591-a3f7a11a080b,2018-01-03,PLCE,start_long,,Mid-Show/Interview,,0.95,9.15,Consumer Cyclical
a60d73bc-04f6-4aec-b69a-7741e4c4468a,2018-01-03,ULTA,start_long,,Monologue/Top of Show,,0.95,9.15,Consumer Cyclical
3576404c-c009-450f-be32-9e8af8bb4f35,2018-01-03,WM,hold_long,cramer_owns,Monologue/Top of Show,,0.95,9.15,Industrials
da5a56f3-2c30-45aa-af78-b1845dbfc771,2018-01-04,ATVI,hold_long,cramer_owns,Mid-Show/Interview,,0.95,9.22,Communication Services
9220caa2-1dad-4e90-abca-77c7a2d111dd,2018-01-04,COST,start_long,,Mid-Show/Interview,,1.0,9.22,Consumer Defensive
4c730962-5cca-45f0-9f6d-c66994afceb5,2018-01-04,D,start_long,,Mid-Show/Interview,,1.0,9.22,Utilities
abdd58de-c91a-4e3b-8d59-5354b36795a5,2018-01-04,GM,start_long,,Monologue/Top of Show,,0.85,9.22,Consumer Cyclical
8fc159c8-d2c5-4e8d-82d6-5b85807b8f7b,2018-01-04,GS,start_long,,Monologue/Top of Show,,1.0,9.22,Financial Services
aabd8401-b401-4d1a-8c23-9ec5d68badda,2018-01-04,NGG,start_long,,Mid-Show/Interview,,0.85,9.22,Utilities
5a223a54-a00c-4e7b-b604-a9d350f9f265,2018-01-04,PLNT,start_long,,Mid-Show/Interview,,0.9,9.22,Consumer Cyclical
5b044000-23e7-4dd1-a04b-d6f20f1913b0,2018-01-04,RANAX,start_long,,Lightning Round,Lightning Round,1.0,9.22,Consumer Cyclical
3114bb88-213e-46a6-a3d6-068a23866214,2018-01-04,RTX,start_long,,Lightning Round,Lightning Round,1.0,9.22,Industrials
295c6a81-7fa3-44b2-a6d6-0c3a61070061,2018-01-04,WFC,start_long,,Monologue/Top of Show,,0.95,9.22,Financial Services
bd37d9e3-23f5-4272-afc0-5dabf71e31ad,2018-01-05,AAP,start_long,,Mid-Show/Interview,,0.75,9.22,Consumer Cyclical
37250593-83de-4c64-9545-1a4a69f603ce,2018-01-05,APA,start_long,,Mid-Show/Interview,,0.75,9.22,Energy
86802ed1-3067-4c1c-9529-eb4c53438c0b,2018-01-05,BGS,start_long,,Lightning Round,Lightning Round,0.85,9.22,Consumer Defensive
a5465dc6-1878-4bd0-befe-008e15beaec4,2018-01-05,BLK,start_long,,Monologue/Top of Show,,0.9,9.22,Financial Services
b9d673b5-058c-4920-8b94-b30fad38f819,2018-01-05,CTRA,start_long,,Mid-Show/Interview,,0.8,9.22,Energy
4aabbadc-daeb-42f1-b5c9-39f717e1e43d,2018-01-05,D,start_long,,Mid-Show/Interview,,0.85,9.22,Utilities
e97689e4-ce69-4275-9237-e39c66804404,2018-01-05,EZU,start_long,,Monologue/Top of Show,,0.95,9.22,ETF
b62bdc69-0b28-4633-81ed-86282ee58026,2018-01-05,FOLD,start_long,,Monologue/Top of Show,,0.8,9.22,Healthcare
6fa7aece-af37-4cb9-b900-8427a9c994d0,2018-01-05,INCY,start_long,,Mid-Show/Interview,,0.9,9.22,Healthcare
80652c24-56be-4c4e-b480-0df95b4e764a,2018-01-05,JPM,start_long,,Monologue/Top of Show,,0.9,9.22,Financial Services
0ea3dbfa-d19f-4acf-8190-702c4a265e51,2018-01-05,PGTIX,hold_long,hold_recommendation,Monologue/Top of Show,,0.8,9.22,ETF
18d6e3d8-9e0e-4490-bd92-4aa0d8c99482,2018-01-05,PNC,start_long,,Monologue/Top of Show,,0.9,9.22,Financial Services
c1b7a469-d4b3-4bc3-9cf1-3654ae54ddfe,2018-01-05,STZ,start_long,,Late Show/Closing,,0.9,9.22,Consumer Defensive
b731e428-e8fa-4483-bc0a-b2f36f552e64,2018-01-05,TECK,start_long,,Monologue/Top of Show,,0.85,9.22,Basic Materials
043d2a9a-2783-452b-9fec-2a3b4498d38d,2018-01-05,WFC,start_long,,Monologue/Top of Show,,0.9,9.22,Financial Services
73bfb5b7-7ef7-4b2c-9baa-696e3e6983a5,2018-01-08,ABBV,start_long,,Lightning Round,Lightning Round,0.9,9.52,Healthcare
d8a321b0-7665-4436-9a43-914a4ea2fc6b,2018-01-08,ADI,start_long,,Lightning Round,Lightning Round,0.85,9.52,Technology
a31cb000-4726-4b12-ad06-85ad9c420cc0,2018-01-08,ALKS,start_long,,Mid-Show/Interview,,0.8,9.52,Healthcare
3f5d525b-3416-4845-8b4b-2c9dbd4e976f,2018-01-08,AM,start_long,,Lightning Round,Lightning Round,0.8,9.52,Energy
7077e85b-a5a2-46d1-a066-1eabaa55ecdb,2018-01-08,ARNC34,hold_long,cramer_owns,Mid-Show/Interview,,0.95,9.52,Industrials
f146eedb-13e3-47e3-b4e6-fc584b47b998,2018-01-08,DE,start_long,,Lightning Round,Lightning Round,0.9,9.52,Industrials
eed700bc-fac6-4cb4-9ebf-ccfc1b8a2133,2018-01-08,EPR,hold_long,hold_recommendation,Mid-Show/Interview,,0.85,9.52,Real Estate
227663cc-71f8-4238-8df0-1109a84c74cd,2018-01-08,EXAS,start_long,,Mid-Show/Interview,,0.85,9.52,Healthcare
fac536d3-98cd-4281-a64c-0728f7234945,2018-01-08,MELI,start_long,,Lightning Round,Lightning Round,0.95,9.52,Consumer Cyclical
b3fbe648-6c54-4ac3-9879-2e05085f277b,2018-01-08,NCLH,hold_long,hold_recommendation,Mid-Show/Interview,,0.9,9.52,Consumer Cyclical
911b2f53-1db4-4404-9919-32d461e3ab06,2018-01-08,SLB,start_long,,Mid-Show/Interview,,0.9,9.52,Energy
46a7bfda-35d6-4186-92cf-a638c50302e6,2018-01-08,TER,hold_long,hold_recommendation,Lightning Round,Lightning Round,0.95,9.52,Technology
37a62eff-6fb2-4963-85f0-f63b24c3ed45,2018-01-08,THO,hold_long,hold_recommendation,Mid-Show/Interview,,0.9,9.52,Consumer Cyclical
893d45b9-888c-4990-84e8-b67709c94e96,2018-01-09,BBY,start_long,,Lightning Round,Lightning Round,0.85,10.08,Consumer Cyclical
68ccbd4f-bc63-428f-8ea4-7b4b7c45f179,2018-01-09,CAT,start_long,,Monologue/Top of Show,,0.85,10.08,Industrials
6f5533d4-6979-4702-9212-9b375844093b,2018-01-09,CMI,start_long,,Monologue/Top of Show,,0.8,10.08,Industrials
